Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Malta,MLT,2001,8.2,69,86,52,Europe,85.28999999999999,11691
Brazil,BRA,2001,5.8,180,240,119,South America,73.49,3492
Switzerland,CHE,2001,11.6,75,96,52,Europe,261.69,40582
Luxembourg,LUX,2001,10.5,90,114,65,Europe,239.82,51391
Mauritius,MUS,2001,6.4,172,223,119,Africa,121.83999999999999,4244
South Africa,ZAF,2001,7.5,387,436,340,Africa,12.43,2953
Belize,BLZ,2001,10.1,203,252,152,North America,151.7,4013
Ecuador,ECU,2001,7.0,154,192,115,South America,67.24,2160
Bulgaria,BGR,2001,9.9,159,223,95,Europe,244.62,1854
Mexico,MEX,2001,6.8,135,170,101,North America,63.3,8311
Latvia,LVA,2001,10.0,229,335,123,Europe,383.49,3724
Kyrgyzstan,KGZ,2001,9.9,219,298,137,Asia,193.29999999999998,345
Netherlands,NLD,2001,11.0,82,97,66,Europe,116.3,28366
Canada,CAN,2001,11.2,79,99,59,North America,137.43,25165
Argentina,ARG,2001,9.1,138,181,94,South America,143.56,7900
Belgium,BEL,2001,10.2,98,128,68,Europe,261.21999999999997,24494
Kuwait,KWT,2001,6.2,92,105,70,Asia,9.13,17116
Kiribati,KIR,2001,6.9,219,258,182,Oceania,0.0,854
New Zealand,NZL,2001,11.6,83,101,64,Oceania,179.9,14968
Antigua and Barbuda,ATG,2001,8.9,154,179,131,North America,19.45,10468
Kazakhstan,KAZ,2001,10.7,283,398,166,Asia,422.49,1608
Sweden,SWE,2001,11.5,72,88,55,Europe,167.49,28429
Iceland,ISL,2001,9.6,73,90,56,Europe,163.06,30850
Poland,POL,2001,11.1,147,210,83,Europe,180.65,5249
Maldives,MDV,2001,3.1,135,151,119,Asia,110.49,3406
Armenia,ARM,2001,10.7,143,202,92,Asia,29.78,587
Greece,GRC,2001,8.8,81,114,47,Europe,38.81,13043
Albania,ALB,2001,8.7,100,125,73,Europe,50.620000000000005,1451
Slovakia,SVK,2001,10.1,145,208,81,Europe,171.88,6020
Portugal,PRT,2001,6.9,109,153,65,Europe,115.73,12391
Serbia,SRB,2001,9.6,134,176,92,Europe,297.0,1718
Cuba,CUB,2001,9.7,119,141,97,North America,244.51,3037
France,FRA,2001,10.0,99,136,61,Europe,239.94,24796
Germany,DEU,2001,11.7,92,120,62,Europe,185.78,24874
Finland,FIN,2001,9.4,99,137,59,Europe,267.19,26383
Saint Lucia,LCA,2001,7.1,181,221,142,North America,59.08,5195
Denmark,DNK,2001,11.4,100,120,78,Europe,186.17,32837
Estonia,EST,2001,11.8,224,325,121,Europe,371.68,4711
Guatemala,GTM,2001,3.8,214,283,149,North America,30.59,1867
Fiji,FJI,2001,9.5,221,265,174,Oceania,54.95,2307
Australia,AUS,2001,11.9,74,93,53,Oceania,158.79,20860
Austria,AUT,2001,9.2,90,119,59,Europe,261.91,25848
Qatar,QAT,2001,8.0,73,77,65,Asia,27.3,32510
Uruguay,URY,2001,8.0,127,168,87,South America,236.12,6827
Hungary,HUN,2001,10.3,185,260,111,Europe,408.98,5546
Seychelles,SYC,2001,7.5,187,256,105,Africa,87.57,8257
Singapore,SGP,2001,9.2,77,97,56,Asia,167.8,28774
Guyana,GUY,2001,7.8,273,315,229,South America,380.76,1054
Slovenia,SVN,2001,11.5,123,170,73,Europe,423.4,10979
Romania,ROU,2001,9.7,179,246,109,Europe,149.10999999999999,1914
Georgia,GEO,2001,11.8,125,185,69,Asia,35.19,777
Croatia,HRV,2001,9.8,129,183,73,Europe,287.54,5571
Spain,ESP,2001,8.5,83,117,48,Europe,112.4,16169
Bahamas,BHS,2001,10.9,204,257,152,North America,2.68,30122
El Salvador,SLV,2001,5.3,222,311,138,North America,129.71,2373
Azerbaijan,AZE,2001,10.6,149,199,102,Asia,60.05,759
Kyrgyzstan,KGZ,2002,10.0,217,294,136,Asia,173.11,359
Finland,FIN,2002,9.5,97,132,60,Europe,255.51999999999998,28390
Bulgaria,BGR,2002,10.0,156,218,94,Europe,247.35,2157
Thailand,THA,2002,6.5,197,254,139,Asia,103.12,2305
Fiji,FJI,2002,9.4,220,265,173,Oceania,110.54,2548
Denmark,DNK,2002,12.1,101,123,78,Europe,176.51,35435
Lithuania,LTU,2002,11.1,207,308,105,Europe,555.62,4360
Luxembourg,LUX,2002,10.7,87,114,57,Europe,264.14,56484
Estonia,EST,2002,11.9,210,310,109,Europe,358.3,5561
Uzbekistan,UZB,2002,9.4,176,220,132,Asia,95.28,428
El Salvador,SLV,2002,5.5,213,301,131,North America,113.19,2421
Ecuador,ECU,2002,7.1,153,193,111,South America,61.42,2472
Brazil,BRA,2002,6.0,176,235,116,South America,69.77,3121
Latvia,LVA,2002,10.6,221,327,116,Europe,367.76,4311
Canada,CAN,2002,11.5,78,96,59,North America,137.73,25570
Iceland,ISL,2002,9.7,66,78,54,Europe,131.24,34556
Kuwait,KWT,2002,6.1,91,104,69,Asia,14.56,17668
Ireland,IRL,2002,11.2,86,111,59,Europe,135.82,35154
Ukraine,UKR,2002,10.5,257,372,138,Europe,344.05,920
Hungary,HUN,2002,10.3,184,258,110,Europe,382.75,6995
Croatia,HRV,2002,9.8,124,176,71,Europe,304.12,6373
Maldives,MDV,2002,3.2,128,144,112,Asia,9.84,3401
Costa Rica,CRI,2002,8.0,100,128,70,North America,95.62,4485
Israel,ISR,2002,12.1,81,105,57,Asia,93.49,20536
Italy,ITA,2002,8.8,71,93,48,Europe,94.61,23227
Guyana,GUY,2002,7.8,280,326,232,South America,311.93,1090
Guatemala,GTM,2002,3.8,206,268,147,North America,40.53,2022
France,FRA,2002,10.1,98,134,61,Europe,238.64000000000001,26714
Colombia,COL,2002,6.5,169,234,101,South America,81.38,2613
Cuba,CUB,2002,9.5,112,133,90,North America,240.42000000000002,3205
Jamaica,JAM,2002,7.7,171,211,130,North America,0.7,4013
Trinidad and Tobago,TTO,2002,9.4,195,242,145,North America,159.01,7578
Japan,JPN,2002,10.9,68,92,44,Asia,265.84,34239
Antigua and Barbuda,ATG,2002,9.0,149,171,128,North America,0.0,10499
Chile,CHL,2002,9.2,100,133,67,South America,149.28,4866
Greece,GRC,2002,9.1,79,109,48,Europe,38.35,14676
Kazakhstan,KAZ,2002,11.0,276,391,160,Asia,405.89,1788
Germany,DEU,2002,12.1,91,119,61,Europe,183.96,26441
Uruguay,URY,2002,8.0,129,171,88,South America,331.69,4439
Grenada,GRD,2002,7.4,175,223,127,North America,0.0,5879
Albania,ALB,2002,9.0,102,126,77,Europe,62.51,1573
South Africa,ZAF,2002,8.5,412,458,369,Africa,6.9799999999999995,2769
Serbia,SRB,2002,9.7,131,173,88,Europe,295.91,2258
Saint Lucia,LCA,2002,7.2,176,217,136,North America,187.51999999999998,5155
Austria,AUT,2002,9.4,87,117,57,Europe,276.92,27772
Seychelles,SYC,2002,7.6,185,255,104,Africa,154.12,9070
Netherlands,NLD,2002,11.1,81,94,67,Europe,119.73,30757
Belarus,BLR,2002,9.1,264,383,137,Europe,411.0,1541
Sweden,SWE,2002,11.6,70,85,54,Europe,162.71,31175
Argentina,ARG,2002,9.2,137,182,92,South America,139.42000000000002,2840
Romania,ROU,2002,9.6,178,245,109,Europe,173.6,2231
Azerbaijan,AZE,2002,10.6,144,190,98,Asia,19.419999999999998,820
Armenia,ARM,2002,10.8,137,197,84,Asia,38.07,788
Philippines,PHL,2002,7.9,216,271,158,Asia,28.54,1158
Belgium,BEL,2002,10.3,97,126,67,Europe,247.85999999999999,26526
Bahamas,BHS,2002,10.9,206,258,154,North America,9.969999999999999,31432
Panama,PAN,2002,8.7,120,153,85,North America,78.94,4641
New Zealand,NZL,2002,11.6,82,100,64,Oceania,152.03,18208
Spain,ESP,2002,8.5,82,116,47,Europe,115.64,17924
Mexico,MEX,2002,7.0,136,170,101,North America,58.36,8357
Singapore,SGP,2002,9.5,76,97,55,Asia,172.39,29048
Mauritius,MUS,2002,6.6,173,233,111,Africa,131.9,4415
Malta,MLT,2002,8.3,68,86,49,Europe,55.28,12524
Slovenia,SVN,2002,11.5,117,162,68,Europe,354.3,12362
Poland,POL,2002,11.4,143,204,80,Europe,183.27,5466
Switzerland,CHE,2002,11.7,73,93,53,Europe,273.7,43419
Australia,AUS,2002,11.8,72,90,53,Oceania,144.68,21474
Portugal,PRT,2002,7.0,107,150,64,Europe,171.82999999999998,13614
Barbados,BRB,2002,9.1,126,157,97,North America,0.0,12511
Sri Lanka,LKA,2002,10.2,150,210,87,Asia,339.41,951
Bahrain,BHR,2002,8.4,99,113,76,Asia,27.68,14572
Norway,NOR,2002,12.1,80,100,59,Europe,141.0,46049
Paraguay,PRY,2002,6.5,167,188,146,South America,43.45,1315
Belize,BLZ,2002,10.2,200,248,148,North America,69.62,4161
Slovakia,SVK,2002,10.3,144,209,78,Europe,191.77,6869
Croatia,HRV,2003,9.8,121,171,70,Europe,281.69,8202
Hungary,HUN,2003,10.5,184,257,111,Europe,372.04,8840
Romania,ROU,2003,9.7,174,239,106,Europe,159.71,2898
Iceland,ISL,2003,9.8,63,73,52,Europe,100.97,42174
Sri Lanka,LKA,2003,10.2,147,207,85,Asia,352.75,1077
Costa Rica,CRI,2003,7.9,101,130,71,North America,115.88,4583
Poland,POL,2003,11.5,140,201,79,Europe,180.15,5983
Bahamas,BHS,2003,10.9,203,255,152,North America,2.49,30704
Guyana,GUY,2003,7.8,277,323,228,South America,382.54,1116
Ukraine,UKR,2003,10.6,258,372,140,Europe,337.07,1097
Uruguay,URY,2003,8.0,125,165,87,South America,259.25,3929
Ireland,IRL,2003,11.4,80,100,60,Europe,134.77,44473
Bahrain,BHR,2003,8.4,92,96,85,Asia,32.39,15756
Portugal,PRT,2003,7.2,104,146,63,Europe,166.46,16671
Guatemala,GTM,2003,3.7,209,276,146,North America,37.34,2079
