Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Thailand,THA,2005,7.0,183,236,128,Asia,77.99,3094
Bulgaria,BGR,2005,10.2,156,219,92,Europe,178.06,4003
Guatemala,GTM,2005,3.5,211,279,147,North America,32.61,2450
Netherlands,NLD,2005,11.6,72,82,61,Europe,113.28,44289
Jamaica,JAM,2005,8.1,164,200,128,North America,26.169999999999998,4505
Brazil,BRA,2005,6.3,162,218,106,South America,73.6,5230
Norway,NOR,2005,12.4,72,88,55,Europe,142.09,71215
Iceland,ISL,2005,10.0,61,72,50,Europe,115.0,60712
Slovenia,SVN,2005,11.7,104,142,64,Europe,337.40999999999997,19012
Paraguay,PRY,2005,7.3,164,184,142,South America,62.81,1704
Singapore,SGP,2005,10.5,74,95,53,Asia,180.33,38122
Uruguay,URY,2005,8.0,125,163,87,South America,241.31,5655
Mexico,MEX,2005,7.6,134,168,99,North America,62.22,9071
Estonia,EST,2005,12.1,187,276,100,Europe,256.43,10870
Austria,AUT,2005,9.9,84,112,55,Europe,235.25,40367
Mauritius,MUS,2005,7.2,164,217,109,Africa,102.51,5641
Belize,BLZ,2005,10.3,190,235,143,North America,46.1,4547
Slovakia,SVK,2005,10.8,140,202,77,Europe,165.37,12229
Belgium,BEL,2005,10.7,88,114,61,Europe,231.75,39124
Uzbekistan,UZB,2005,9.8,183,230,137,Asia,67.81,606
Israel,ISR,2005,12.3,72,94,52,Asia,102.91,22901
Ecuador,ECU,2005,7.3,149,189,107,South America,96.73,3397
El Salvador,SLV,2005,6.0,206,295,125,North America,115.73,2733
Ireland,IRL,2005,11.7,75,94,56,Europe,121.11,55213
Montenegro,MNE,2005,10.5,130,170,88,Europe,274.48,3870
New Zealand,NZL,2005,11.7,77,95,60,Oceania,157.93,29803
Albania,ALB,2005,9.1,106,125,85,Europe,0.0,2931
Fiji,FJI,2005,9.2,214,260,164,Oceania,52.83,4104
Grenada,GRD,2005,7.8,171,218,122,North America,160.82,7422
Finland,FIN,2005,12.0,100,136,62,Europe,230.52,41202
United Arab Emirates,ARE,2005,9.1,91,98,71,Asia,16.05,42196
Denmark,DNK,2005,12.8,89,110,68,Europe,164.23,51960
Italy,ITA,2005,9.2,65,86,44,Europe,82.59,33536
Croatia,HRV,2005,9.7,116,166,65,Europe,269.57,10722
Malta,MLT,2005,9.8,63,77,48,Europe,67.94,16648
Hungary,HUN,2005,10.9,182,257,108,Europe,352.01,11764
Ukraine,UKR,2005,11.2,280,402,152,Europe,297.18,1917
Panama,PAN,2005,9.0,116,149,82,North America,77.81,5499
Seychelles,SYC,2005,7.7,185,255,102,Africa,71.5,11361
Japan,JPN,2006,11.2,67,88,44,Asia,262.24,37534
Croatia,HRV,2006,9.9,114,163,64,Europe,248.22,11914
Israel,ISR,2006,12.1,69,89,49,Asia,80.52,24306
Ireland,IRL,2006,11.8,75,92,57,Europe,126.46,58941
Colombia,COL,2006,6.7,146,196,94,South America,78.41,4095
Suriname,SUR,2006,7.7,203,254,149,South America,298.26,5794
Hungary,HUN,2006,11.1,178,251,104,Europe,312.65999999999997,12021
Romania,ROU,2006,10.3,158,219,95,Europe,149.09,6018
Cuba,CUB,2006,10.1,103,124,81,North America,202.55,4951
Slovakia,SVK,2006,10.9,138,198,76,Europe,0.0,13763
Austria,AUT,2006,10.1,80,108,53,Europe,218.9,42698
Jamaica,JAM,2006,8.3,154,188,120,North America,0.0,4738
Kuwait,KWT,2006,6.2,87,100,65,Asia,15.83,46890
Bahamas,BHS,2006,10.9,177,224,130,North America,5.640000000000001,32957
Guatemala,GTM,2006,3.7,205,274,140,North America,41.95,2653
Iceland,ISL,2006,10.2,62,75,49,Europe,106.39,60243
Italy,ITA,2006,9.3,64,85,43,Europe,81.61,34578
Armenia,ARM,2006,10.9,145,211,86,Asia,43.67,2310
Sri Lanka,LKA,2006,10.5,145,209,80,Asia,328.73,1580
Australia,AUS,2006,11.9,65,82,47,Oceania,127.89,39014
Singapore,SGP,2006,10.1,71,88,54,Asia,148.75,43318
Kazakhstan,KAZ,2006,11.7,299,420,172,Asia,374.73,5770
Spain,ESP,2006,9.0,73,103,43,Europe,99.86999999999999,30246
Saint Lucia,LCA,2006,7.6,155,185,124,North America,17.83,7391
Serbia,SRB,2006,10.2,126,167,84,Europe,286.07,4353
Netherlands,NLD,2006,11.8,70,80,59,Europe,113.19,47281
Seychelles,SYC,2006,7.8,185,256,101,Africa,275.75,12442
South Africa,ZAF,2006,9.0,477,512,446,Africa,17.92,6166
Guyana,GUY,2006,7.9,267,312,219,South America,394.6,2182
Costa Rica,CRI,2006,7.9,104,133,74,North America,100.83,5716
Chile,CHL,2006,9.5,93,122,64,South America,155.06,10270
Slovenia,SVN,2006,11.8,107,152,58,Europe,347.87,20634
Argentina,ARG,2006,9.0,124,162,86,South America,128.22,6475
Cyprus,CYP,2006,10.9,64,81,47,Asia,27.64,28600
Bulgaria,BGR,2006,10.4,157,218,93,Europe,186.53,4638
Estonia,EST,2006,12.2,186,275,97,Europe,242.63,13264
Uruguay,URY,2006,8.0,118,157,80,South America,248.11,6362
Panama,PAN,2006,9.1,119,154,84,North America,91.63,5972
Georgia,GEO,2006,12.1,145,221,73,Asia,23.51,1859
Mexico,MEX,2006,8.0,131,166,97,North America,59.22,9906
Barbados,BRB,2006,9.2,113,139,88,North America,45.38,16531
United Arab Emirates,ARE,2006,9.3,88,95,68,Asia,16.55,45110
Thailand,THA,2006,7.0,174,227,121,Asia,69.04,3598
Trinidad and Tobago,TTO,2006,9.9,189,234,140,North America,133.89000000000001,15190
Philippines,PHL,2006,8.8,215,272,155,Asia,36.66,1599
Denmark,DNK,2006,12.8,91,113,68,Europe,162.07999999999998,55354
Fiji,FJI,2006,9.3,212,258,161,Oceania,30.77,4206
Norway,NOR,2006,12.5,69,85,53,Europe,142.67,79007
Luxembourg,LUX,2006,11.5,78,99,55,Europe,183.79,95351
France,FRA,2006,10.6,90,122,57,Europe,220.63,40097
Grenada,GRD,2006,7.9,167,214,118,North America,9.89,7423
Paraguay,PRY,2006,7.1,161,181,139,South America,65.57000000000001,2038
Antigua and Barbuda,ATG,2006,9.2,155,181,129,North America,0.0,14114
Lithuania,LTU,2006,12.0,235,349,119,Europe,400.57,9667
Belgium,BEL,2006,11.1,85,109,60,Europe,214.9,41135
Germany,DEU,2006,13.6,83,109,57,Europe,152.52,38088
Qatar,QAT,2006,9.2,66,71,54,Asia,87.30000000000001,64762
Mauritius,MUS,2006,7.4,162,212,110,Africa,163.68,6246
Malta,MLT,2006,9.8,63,79,47,Europe,87.21000000000001,17504
Sweden,SWE,2006,12.4,64,78,50,Europe,160.76,48977
Kyrgyzstan,KGZ,2006,10.2,233,316,147,Asia,145.99,610
Switzerland,CHE,2006,12.3,64,81,47,Europe,241.63,60536
Greece,GRC,2006,9.9,76,106,44,Europe,45.410000000000004,25739
New Zealand,NZL,2006,11.7,75,91,60,Oceania,156.74,28628
Ukraine,UKR,2006,11.2,268,387,146,Europe,282.78999999999996,2418
Montenegro,MNE,2006,10.7,127,167,86,Europe,0.0,4654
El Salvador,SLV,2006,6.4,203,291,122,North America,99.57,2947
Bahrain,BHR,2006,8.4,89,96,75,Asia,27.18,20826
Ecuador,ECU,2006,7.3,144,182,104,South America,93.07,3759
Finland,FIN,2006,12.0,95,132,57,Europe,233.8,43487
Latvia,LVA,2006,12.2,232,338,128,Europe,288.9,10139
Poland,POL,2006,11.7,145,208,80,Europe,182.85,9485
Belize,BLZ,2006,10.3,185,227,139,North America,37.92,4815
Albania,ALB,2006,9.2,101,128,72,Europe,0.0,3235
Canada,CAN,2006,12.3,74,92,56,North America,126.42999999999999,42566
Brazil,BRA,2006,6.4,160,214,105,South America,69.89999999999999,6403
Mauritius,MUS,2007,7.6,160,213,105,Africa,141.45,7179
Romania,ROU,2007,10.5,155,216,93,Europe,136.06,8593
Norway,NOR,2007,12.6,67,80,52,Europe,127.77,90797
Belgium,BEL,2007,11.1,86,108,62,Europe,208.57,47040
Mexico,MEX,2007,8.0,129,164,94,North America,58.01,10496
Singapore,SGP,2007,10.2,68,87,48,Asia,165.76,53098
Montenegro,MNE,2007,10.8,123,161,84,Europe,335.53,6268
Israel,ISR,2007,12.5,67,87,48,Asia,73.67,27712
New Zealand,NZL,2007,11.8,76,93,59,Oceania,148.19,34892
Netherlands,NLD,2007,12.0,67,77,57,Europe,97.44,54418
Italy,ITA,2007,9.4,62,82,43,Europe,81.96000000000001,38935
Panama,PAN,2007,9.2,119,152,84,North America,71.9,6876
Philippines,PHL,2007,8.9,208,264,149,Asia,29.169999999999998,1915
Belarus,BLR,2007,10.6,230,339,119,Europe,355.89,4898
Bahrain,BHR,2007,8.4,80,92,59,Asia,32.09,22524
Qatar,QAT,2007,9.6,66,70,52,Asia,28.61,71460
Kyrgyzstan,KGZ,2007,10.3,230,317,141,Asia,125.89,814
Kuwait,KWT,2007,6.3,86,99,64,Asia,13.02,37283
Chile,CHL,2007,9.4,93,121,64,South America,150.92000000000002,11387
Canada,CAN,2007,12.4,74,92,55,North America,127.45,46890
Portugal,PRT,2007,7.7,92,130,54,Europe,143.55,24003
Latvia,LVA,2007,12.3,224,328,120,Europe,295.75,14758
Poland,POL,2007,11.8,145,209,79,Europe,166.47,11816
Kazakhstan,KAZ,2007,11.6,293,413,167,Asia,375.63,7423
Lithuania,LTU,2007,12.1,246,364,123,Europe,406.79,12869
Bahamas,BHS,2007,10.9,171,220,122,North America,13.42,33710
Bulgaria,BGR,2007,10.5,153,212,91,Europe,173.76999999999998,6073
Barbados,BRB,2007,9.3,112,139,87,North America,0.0,17528
Serbia,SRB,2007,10.2,123,165,81,Europe,258.45,5748
Luxembourg,LUX,2007,11.7,75,94,54,Europe,183.89000000000001,112581
Japan,JPN,2007,11.3,66,87,44,Asia,268.76,37408
Colombia,COL,2007,7.2,141,189,92,South America,74.25,5150
Maldives,MDV,2007,3.9,83,93,71,Asia,14.36,6115
Paraguay,PRY,2007,7.1,159,179,137,South America,62.51,2599
Malta,MLT,2007,9.9,65,84,45,Europe,73.84,20333
Seychelles,SYC,2007,7.9,185,257,100,Africa,147.64000000000001,12554
Brazil,BRA,2007,6.5,158,212,103,South America,71.68,7970
Azerbaijan,AZE,2007,10.2,141,187,95,Asia,11.83,4172
Austria,AUT,2007,11.6,80,106,53,Europe,217.31,49218
Belize,BLZ,2007,10.4,181,222,138,North America,78.49000000000001,4951
Costa Rica,CRI,2007,8.1,91,121,61,North America,75.35,6661
Croatia,HRV,2007,10.1,115,163,66,Europe,243.45,14204
Hungary,HUN,2007,11.3,176,245,106,Europe,327.32,14609
Finland,FIN,2007,12.0,96,133,57,Europe,223.08,51089
Denmark,DNK,2007,12.5,91,112,68,Europe,139.96,62229
Grenada,GRD,2007,8.0,164,210,116,North America,48.34,8035
Ukraine,UKR,2007,11.2,278,401,150,Europe,281.12,3229
France,FRA,2007,10.7,88,120,55,Europe,213.69,45682
Trinidad and Tobago,TTO,2007,10.5,188,236,137,North America,143.58,17827
Georgia,GEO,2007,12.1,140,210,74,Asia,36.59,2448
Spain,ESP,2007,9.1,72,101,43,Europe,98.95,34769
Thailand,THA,2007,7.1,170,222,117,Asia,79.14,4461
Germany,DEU,2007,13.7,82,107,56,Europe,146.52,43667
Guyana,GUY,2007,8.0,257,299,212,South America,373.75,2602
Armenia,ARM,2007,11.0,137,201,80,Asia,39.019999999999996,3366
Cyprus,CYP,2007,11.2,70,98,41,Asia,36.17,33048
Argentina,ARG,2007,8.9,126,165,88,South America,118.35,7918
Cuba,CUB,2007,10.4,102,122,80,North America,188.18,5488
Guatemala,GTM,2007,3.9,191,250,135,North America,40.27,2914
Greece,GRC,2007,10.0,78,110,45,Europe,33.91,29896
Switzerland,CHE,2007,12.6,62,78,46,Europe,255.81,66807
Sweden,SWE,2007,12.5,63,78,48,Europe,147.39,56531
South Africa,ZAF,2007,9.1,475,511,442,Africa,12.12,6708
Australia,AUS,2007,12.0,65,82,48,Oceania,130.25,43171
Antigua and Barbuda,ATG,2007,9.2,149,173,125,North America,7.98,15775
Suriname,SUR,2007,7.7,200,251,147,South America,356.14,6397
United Arab Emirates,ARE,2007,9.4,86,93,65,Asia,15.99,45285
Ireland,IRL,2007,11.9,72,92,52,Europe,121.77,67032
Estonia,EST,2007,12.2,187,280,93,Europe,265.05,17504
Uruguay,URY,2007,8.2,124,165,85,South America,266.31,7581
Slovenia,SVN,2007,11.8,102,142,59,Europe,291.45,24964
Ecuador,ECU,2007,7.3,141,181,100,South America,95.97,4024
Albania,ALB,2007,9.2,101,130,72,Europe,65.85,3863
Slovakia,SVK,2007,11.1,139,199,79,Europe,0.0,16815
El Salvador,SLV,2007,5.8,200,289,120,North America,127.14,3111
Iceland,ISL,2007,10.3,60,73,47,Europe,163.29,73590
Fiji,FJI,2007,9.3,209,255,157,Oceania,20.46,4570
Lithuania,LTU,2008,12.2,229,334,122,Europe,430.05,15669
Poland,POL,2008,11.9,142,204,77,Europe,177.38,14721
El Salvador,SLV,2008,6.4,198,287,118,North America,125.82,3271
Romania,ROU,2008,10.6,160,225,93,Europe,140.4,10454
Bahrain,BHR,2008,8.4,73,79,62,Asia,27.89,25106
Cyprus,CYP,2008,11.3,68,87,48,Asia,59.07,37267
Barbados,BRB,2008,9.3,112,140,86,North America,2.31,17760
Grenada,GRD,2008,8.1,162,207,113,North America,0.0,8733
Portugal,PRT,2008,7.8,89,126,53,Europe,141.02,26121
Qatar,QAT,2008,9.7,65,70,51,Asia,13.55,87961
Latvia,LVA,2008,12.2,200,294,109,Europe,323.69,17217
Argentina,ARG,2008,8.9,123,162,86,South America,118.11,9843
Sweden,SWE,2008,12.2,62,76,48,Europe,155.68,59155
Belize,BLZ,2008,10.4,183,224,138,North America,86.36,5098
Kyrgyzstan,KGZ,2008,10.3,218,295,138,Asia,135.96,1096
Greece,GRC,2008,10.1,75,106,44,Europe,40.3,33168
Albania,ALB,2008,9.2,102,131,72,Europe,71.05,4672
New Zealand,NZL,2008,11.8,74,89,60,Oceania,151.78,33585
Switzerland,CHE,2008,12.9,59,75,43,Europe,237.51,76202
Netherlands,NLD,2008,12.0,67,77,57,Europe,102.09,60375
Thailand,THA,2008,7.3,167,219,114,Asia,78.18,4921
United Arab Emirates,ARE,2008,9.6,85,91,64,Asia,11.86,48457
Ecuador,ECU,2008,7.9,141,181,99,South America,95.29,4787
Mauritius,MUS,2008,7.8,165,219,107,Africa,78.13,8716
Panama,PAN,2008,9.2,122,160,82,North America,73.3,7972
Antigua and Barbuda,ATG,2008,9.3,147,172,122,North America,0.0,16238
Brazil,BRA,2008,6.7,157,211,102,South America,72.21,9555
Finland,FIN,2008,12.2,94,129,56,Europe,220.29,56521
Belgium,BEL,2008,11.0,86,110,61,Europe,221.54,51345
Fiji,FJI,2008,9.4,206,253,155,Oceania,47.48,4675
Norway,NOR,2008,12.7,66,82,49,Europe,132.03,103431
Mexico,MEX,2008,8.0,133,171,95,North America,60.83,10864
Malta,MLT,2008,10.0,62,79,44,Europe,38.68,23007
Germany,DEU,2008,13.7,81,105,56,Europe,145.52,47702
Belarus,BLR,2008,11.3,228,340,114,Europe,352.15999999999997,6601
Denmark,DNK,2008,12.9,86,104,66,Europe,143.05,68447
Uruguay,URY,2008,8.4,119,156,82,South America,234.53,9793
Ukraine,UKR,2008,11.3,275,398,149,Europe,274.5,4104
France,FRA,2008,10.7,87,118,56,Europe,216.21,49901
Maldives,MDV,2008,4.3,80,92,67,Asia,0.0,7236
Philippines,PHL,2008,9.0,207,262,148,Asia,33.05,2188
Bulgaria,BGR,2008,10.5,150,209,89,Europe,170.34,7487
Luxembourg,LUX,2008,11.7,69,87,50,Europe,112.31,121315
Trinidad and Tobago,TTO,2008,10.7,195,248,139,North America,178.25,22857
Estonia,EST,2008,12.3,164,245,85,Europe,244.57,19141
Paraguay,PRY,2008,7.4,157,177,135,South America,58.32,3438
Montenegro,MNE,2008,10.9,119,155,82,Europe,308.09000000000003,7705
Canada,CAN,2008,12.4,73,90,56,North America,127.59,49041
Bahamas,BHS,2008,10.9,168,217,119,North America,12.49,32746
Guatemala,GTM,2008,4.3,186,249,128,North America,54.76,3252
Australia,AUS,2008,12.3,64,82,47,Oceania,130.49,52315
Cuba,CUB,2008,10.6,100,119,81,North America,190.99,5686
Spain,ESP,2008,9.2,70,97,43,Europe,98.52,37848
Slovenia,SVN,2008,11.9,96,135,55,Europe,263.09,28599
Singapore,SGP,2008,10.5,67,86,49,Asia,150.25,55735
Chile,CHL,2008,9.9,91,121,61,South America,167.88,11653
Hungary,HUN,2008,11.5,164,230,99,Europe,331.68,16540
Serbia,SRB,2008,10.4,122,163,81,Europe,242.61,7049
Italy,ITA,2008,9.5,61,80,42,Europe,81.69,41935
South Africa,ZAF,2008,9.7,458,500,420,Africa,14.14,6573
Iceland,ISL,2008,10.4,57,72,41,Europe,136.09,59489
Kazakhstan,KAZ,2008,11.5,264,371,154,Asia,366.94,9387
Guyana,GUY,2008,8.0,249,291,205,South America,353.62,2873
Croatia,HRV,2008,10.3,117,167,66,Europe,265.69,16680
Colombia,COL,2008,7.3,142,191,93,South America,74.22,5971
Armenia,ARM,2008,11.0,144,211,86,Asia,35.15,3829
Costa Rica,CRI,2008,8.4,97,128,65,North America,72.27,7517
Suriname,SUR,2008,7.7,200,251,146,South America,416.82,7601
Austria,AUT,2008,11.5,76,101,51,Europe,216.45,54294
Ireland,IRL,2008,12.0,72,88,55,Europe,129.56,67173
Israel,ISR,2008,12.6,64,84,45,Asia,87.33,32874
Seychelles,SYC,2008,8.0,185,256,100,Africa,39.07,11667
Japan,JPN,2008,11.4,64,85,43,Asia,265.32,41773
Saint Lucia,LCA,2008,7.8,152,185,118,North America,0.0,8122
Slovakia,SVK,2008,11.2,135,196,73,Europe,134.2,19530
Kuwait,KWT,2008,6.5,85,98,63,Asia,11.76,43746
Paraguay,PRY,2009,7.0,154,174,133,South America,67.33,2920
United Arab Emirates,ARE,2009,9.7,83,89,62,Asia,11.73,34960
Antigua and Barbuda,ATG,2009,9.3,138,168,110,North America,0.0,14335
Belarus,BLR,2009,11.9,225,334,115,Europe,375.54,5366
Finland,FIN,2009,12.2,90,124,56,Europe,228.48999999999998,49878
Ukraine,UKR,2009,11.3,235,341,131,Europe,279.26,2691
Jamaica,JAM,2009,8.8,143,176,110,North America,21.13,4686
Seychelles,SYC,2009,8.0,183,254,98,Africa,43.81,10157
Denmark,DNK,2009,12.7,84,104,64,Europe,144.7,61863
Hungary,HUN,2009,11.7,160,224,97,Europe,310.72,13697
Colombia,COL,2009,7.3,147,198,95,South America,73.83,5643
South Africa,ZAF,2009,10.1,435,484,389,Africa,10.71,6517
Brazil,BRA,2009,6.8,156,210,102,South America,70.37,9283
Malta,MLT,2009,10.2,61,80,41,Europe,107.12,21695
France,FRA,2009,10.8,87,118,56,Europe,216.24,45775
Oman,OMN,2009,7.7,108,125,78,Asia,21.19,18557
Albania,ALB,2009,9.3,103,133,72,Europe,0.0,4387
Netherlands,NLD,2009,11.9,65,75,55,Europe,108.3,54988
New Zealand,NZL,2009,11.9,73,88,57,Oceania,153.0,30259
Slovakia,SVK,2009,11.4,130,185,74,Europe,139.08,17299
Israel,ISR,2009,12.6,61,78,45,Asia,80.32,30812
El Salvador,SLV,2009,6.5,197,286,116,North America,124.12,3184
Belize,BLZ,2009,10.4,183,225,138,North America,57.76,4841
Ireland,IRL,2009,12.1,74,93,54,Europe,132.63,57390
Montenegro,MNE,2009,11.0,115,150,79,Europe,275.93,7023
Costa Rica,CRI,2009,8.4,96,124,67,North America,77.37,7403
Uzbekistan,UZB,2009,10.5,149,187,112,Asia,60.86,1332
Panama,PAN,2009,9.3,122,161,82,North America,68.29,8436
Estonia,EST,2009,12.4,154,231,78,Europe,248.67,15609
Ecuador,ECU,2009,7.9,137,176,97,South America,94.25,4762
Singapore,SGP,2009,10.5,62,80,44,Asia,149.58,54413
Mexico,MEX,2009,8.2,136,174,97,North America,64.14,8651
Uruguay,URY,2009,8.4,118,157,80,South America,237.75,10166
Norway,NOR,2009,12.7,67,83,50,Europe,145.74,85394
Fiji,FJI,2009,9.5,203,250,152,Oceania,51.67,3765
Italy,ITA,2009,9.6,60,78,42,Europe,81.92999999999999,38101
Bahamas,BHS,2009,10.9,166,216,117,North America,15.98,30450
Croatia,HRV,2009,10.6,109,156,61,Europe,254.29,14872
Iceland,ISL,2009,10.5,55,69,39,Europe,123.73,43700
Mauritius,MUS,2009,8.0,165,225,102,Africa,106.07,7873
Slovenia,SVN,2009,12.1,91,125,54,Europe,268.71,25872
Belgium,BEL,2009,11.1,84,107,61,Europe,218.35,47630
Austria,AUT,2009,11.7,77,103,50,Europe,213.22,50356
Armenia,ARM,2009,11.1,142,211,82,Asia,33.7,3215
Germany,DEU,2009,13.8,80,104,55,Europe,145.52,43570
Thailand,THA,2009,7.5,164,217,110,Asia,78.56,4736
Lithuania,LTU,2009,11.5,197,294,101,Europe,437.07,12412
Guyana,GUY,2009,8.0,252,295,207,South America,301.78,3076
Kazakhstan,KAZ,2009,11.5,240,338,143,Asia,330.07,8024
Cyprus,CYP,2009,11.3,68,93,42,Asia,55.53,33816
Switzerland,CHE,2009,13.3,59,76,42,Europe,180.13,73529
Barbados,BRB,2009,9.3,110,138,84,North America,28.8,17007
Saint Lucia,LCA,2009,7.9,152,185,118,North America,82.32,7902
Chile,CHL,2009,9.9,94,125,63,South America,174.29999999999998,11062
Qatar,QAT,2009,9.2,65,70,51,Asia,19.900000000000002,64911
Portugal,PRT,2009,7.9,88,124,53,Europe,139.7,24254
Canada,CAN,2009,12.5,71,88,54,North America,130.67,42933
Greece,GRC,2009,10.1,76,107,44,Europe,40.97,30785
Cuba,CUB,2009,10.8,99,120,77,North America,201.32999999999998,5797
Argentina,ARG,2009,9.3,123,158,88,South America,107.32,8961
Latvia,LVA,2009,12.3,185,270,103,Europe,307.8,12890
Poland,POL,2009,12.1,137,197,76,Europe,197.1,12141
Kyrgyzstan,KGZ,2009,10.4,204,278,128,Asia,113.28,977
Serbia,SRB,2009,10.4,120,159,80,Europe,258.43,6116
Trinidad and Tobago,TTO,2009,10.7,185,232,134,North America,120.24,15652
Philippines,PHL,2009,9.0,207,260,150,Asia,34.89,2073
Japan,JPN,2009,11.4,63,83,41,Asia,266.69,43415
Bulgaria,BGR,2009,10.6,147,205,88,Europe,154.42,7186
Australia,AUS,2009,12.3,65,81,48,Oceania,130.12,45128
Suriname,SUR,2009,7.7,197,249,142,South America,369.71,8238
Guatemala,GTM,2009,4.6,191,252,133,North America,57.57,3053
Romania,ROU,2009,10.6,160,225,93,Europe,144.02,8465
Bahrain,BHR,2009,8.4,69,74,60,Asia,24.59,20988
Luxembourg,LUX,2009,11.8,67,83,50,Europe,110.95,109483
Turkey,TUR,2009,6.5,118,159,80,Asia,21.29,9773
Kuwait,KWT,2009,6.6,85,98,63,Asia,14.81,33453
Grenada,GRD,2009,8.2,158,203,110,North America,0.0,8140
Spain,ESP,2009,9.3,67,91,42,Europe,98.02,34470
Georgia,GEO,2009,12.2,156,229,87,Asia,65.06,2589
Sweden,SWE,2009,12.2,61,75,47,Europe,160.4,49070
Austria,AUT,2010,11.8,74,100,49,Europe,207.55,49181
New Zealand,NZL,2010,12.0,71,87,55,Oceania,152.62,36145
Belize,BLZ,2010,10.5,182,225,136,North America,61.48,4923
Switzerland,CHE,2010,13.3,57,71,43,Europe,160.52,78474
Uzbekistan,UZB,2010,10.7,145,182,108,Asia,63.230000000000004,1533
Qatar,QAT,2010,8.4,65,70,50,Asia,12.83,74055
Slovenia,SVN,2010,12.1,87,120,52,Europe,265.59000000000003,24689
Saint Lucia,LCA,2010,8.4,153,183,122,North America,30.31,8557
Bahrain,BHR,2010,8.4,66,67,65,Asia,11.89,22572
Romania,ROU,2010,10.7,155,218,89,Europe,150.04,8190
Suriname,SUR,2010,7.7,194,246,139,South America,425.3,9176
Philippines,PHL,2010,8.9,203,255,148,Asia,36.96,2412
Nicaragua,NIC,2010,6.0,160,208,115,North America,88.74,1715
Bahamas,BHS,2010,10.9,159,205,113,North America,58.32,30239
Seychelles,SYC,2010,8.1,181,251,97,Africa,51.989999999999995,11563
Ukraine,UKR,2010,11.3,218,317,121,Europe,263.07,3141
Turkmenistan,TKM,2010,9.9,188,250,129,Asia,45.75,4962
Australia,AUS,2010,12.4,63,80,46,Oceania,132.64000000000001,54887
Paraguay,PRY,2010,7.7,152,171,131,South America,54.56,3619
Turkey,TUR,2010,6.7,116,155,79,Asia,31.69,11525
Spain,ESP,2010,9.4,65,88,40,Europe,87.44,32839
Poland,POL,2010,12.2,131,189,71,Europe,190.64,13304
Trinidad and Tobago,TTO,2010,10.7,179,226,129,North America,150.5,18000
Argentina,ARG,2010,9.8,119,153,85,South America,111.24,11273
United Arab Emirates,ARE,2010,9.9,81,88,61,Asia,22.71,36964
Serbia,SRB,2010,10.4,115,154,76,Europe,234.48,5682
Panama,PAN,2010,9.3,117,153,79,North America,64.0,8991
Oman,OMN,2010,7.9,107,123,76,Asia,3.8000000000000003,21337
South Africa,ZAF,2010,10.0,416,462,375,Africa,13.09,8128
Barbados,BRB,2010,9.4,108,137,81,North America,7.62,17034
Portugal,PRT,2010,8.1,86,122,51,Europe,148.84,23673
Belgium,BEL,2010,11.1,81,102,59,Europe,220.18,47355
Belarus,BLR,2010,12.0,226,336,113,Europe,331.98,6371
Slovakia,SVK,2010,11.6,122,175,68,Europe,143.68,17387
Uruguay,URY,2010,8.4,118,156,80,South America,257.43,12882
Singapore,SGP,2010,11.2,60,77,43,Asia,129.23,66099
Armenia,ARM,2010,11.1,138,203,81,Asia,40.410000000000004,3460
Norway,NOR,2010,12.7,65,79,50,Europe,136.43,93638
Thailand,THA,2010,7.7,161,216,106,Asia,80.5,5707
Sweden,SWE,2010,12.3,58,72,43,Europe,146.54,55352
Albania,ALB,2010,9.3,103,134,73,Europe,41.66,4359
Greece,GRC,2010,10.3,74,102,44,Europe,39.9,27886
Bulgaria,BGR,2010,10.6,143,197,88,Europe,158.25,7066
Kazakhstan,KAZ,2010,11.4,243,341,143,Asia,320.81,10062
Brazil,BRA,2010,6.9,154,208,100,South America,72.73,12161
Grenada,GRD,2010,8.3,154,198,107,North America,0.0,8118
Colombia,COL,2010,7.4,146,195,95,South America,67.24,6836
Guatemala,GTM,2010,4.9,186,245,131,North America,35.43,3260
Cuba,CUB,2010,11.0,97,119,76,North America,202.13,5997
Japan,JPN,2010,11.5,61,81,41,Asia,255.48,47059
Maldives,MDV,2010,4.9,71,84,56,Asia,1.99,7806
Cyprus,CYP,2010,11.5,65,87,43,Asia,58.88,32477
Mauritius,MUS,2010,8.2,162,214,107,Africa,111.83,8587
Jamaica,JAM,2010,8.9,139,172,106,North America,1.16,5100
Hungary,HUN,2010,11.9,152,213,92,Europe,321.31,13761
Iceland,ISL,2010,10.6,53,67,39,Europe,184.27,45179
Croatia,HRV,2010,10.8,106,147,63,Europe,241.97,14232
Italy,ITA,2010,9.7,58,75,41,Europe,80.77,36869
Costa Rica,CRI,2010,8.3,106,139,73,North America,84.35,8906
Israel,ISR,2010,12.6,60,77,43,Asia,99.47,34104
Ireland,IRL,2010,12.2,65,81,49,Europe,120.3,52042
Netherlands,NLD,2010,12.0,64,74,55,Europe,109.49000000000001,53302
Guyana,GUY,2010,8.1,258,305,209,South America,403.07,3384
Germany,DEU,2010,13.8,78,101,53,Europe,152.17000000000002,43614
Malta,MLT,2010,10.3,58,75,41,Europe,82.11,22132
Denmark,DNK,2010,12.7,83,102,62,Europe,130.02,61711
Finland,FIN,2010,12.3,88,120,54,Europe,215.21,48939
Luxembourg,LUX,2010,11.8,67,83,50,Europe,141.16,111328
