Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Latvia,LVA,2001,10.0,229,335,123,Europe,383.49,"8,350,252,966"
Cuba,CUB,2001,9.7,119,141,97,North America,244.51,"31,682,400,000"
Sweden,SWE,2001,11.5,72,88,55,Europe,167.49,"239,917,320,967"
Belgium,BEL,2001,10.2,98,128,68,Europe,261.21999999999997,"237,841,968,680"
Serbia,SRB,2001,9.6,134,176,92,Europe,297.0,"12,267,175,481"
Kyrgyzstan,KGZ,2001,9.9,219,298,137,Asia,193.29999999999998,"1,525,112,242"
Seychelles,SYC,2001,7.5,187,256,105,Africa,87.57,"622,262,057"
Kuwait,KWT,2001,6.2,92,105,70,Asia,9.13,"34,890,772,742"
Kiribati,KIR,2001,6.9,219,258,182,Oceania,0.0,"63,101,272"
Kazakhstan,KAZ,2001,10.7,283,398,166,Asia,422.49,"22,152,694,162"
Barbados,BRB,2001,9.0,127,157,99,North America,8.65,"3,116,650,000"
Denmark,DNK,2001,11.4,100,120,78,Europe,186.17,"164,791,416,350"
Belarus,BLR,2001,9.0,255,372,131,Europe,419.65,"12,354,820,144"
Argentina,ARG,2001,9.1,138,181,94,South America,143.56,"268,696,750,000"
Maldives,MDV,2001,3.1,135,151,119,Asia,110.49,"870,179,739"
Singapore,SGP,2001,9.2,77,97,56,Asia,167.8,"89,286,208,629"
Trinidad and Tobago,TTO,2001,9.3,204,253,153,North America,205.33,"8,824,873,259"
Bulgaria,BGR,2001,9.9,159,223,95,Europe,244.62,"14,075,616,789"
Paraguay,PRY,2001,6.2,169,191,146,South America,56.52,"7,662,595,076"
Norway,NOR,2001,12.1,81,101,60,Europe,154.29,"174,003,247,439"
Georgia,GEO,2001,11.8,125,185,69,Asia,35.19,"3,219,487,747"
Canada,CAN,2001,11.2,79,99,59,North America,137.43,"736,379,777,893"
Brazil,BRA,2001,5.8,180,240,119,South America,73.49,"559,372,276,082"
Armenia,ARM,2001,10.7,143,202,92,Asia,29.78,"2,118,467,913"
Philippines,PHL,2001,7.7,215,269,159,Asia,27.08,"76,262,072,468"
New Zealand,NZL,2001,11.6,83,101,64,Oceania,179.9,"53,872,425,917"
Netherlands,NLD,2001,11.0,82,97,66,Europe,116.3,"426,573,601,790"
Poland,POL,2001,11.1,147,210,83,Europe,180.65,"190,521,263,343"
Chile,CHL,2001,9.0,106,140,71,South America,147.58,"70,979,923,960"
Mexico,MEX,2001,6.8,135,170,101,North America,63.3,"756,706,300,590"
Portugal,PRT,2001,6.9,109,153,65,Europe,115.73,"121,545,880,984"
Ukraine,UKR,2001,10.4,254,368,136,Europe,348.14,"38,009,344,577"
Colombia,COL,2001,6.5,170,235,103,South America,88.27,"98,203,546,156"
Belize,BLZ,2001,10.1,203,252,152,North America,151.7,"871,860,600"
Mauritius,MUS,2001,6.4,172,223,119,Africa,121.83999999999999,"4,536,538,211"
Qatar,QAT,2001,8.0,73,77,65,Asia,27.3,"17,538,461,538"
Malta,MLT,2001,8.2,69,86,52,Europe,85.28999999999999,"4,331,870,648"
Costa Rica,CRI,2001,8.0,101,129,73,North America,76.03,"15,913,363,335"
Romania,ROU,2001,9.7,179,246,109,Europe,149.10999999999999,"40,716,836,998"
Luxembourg,LUX,2001,10.5,90,114,65,Europe,239.82,"21,272,418,792"
Japan,JPN,2001,10.8,70,94,46,Asia,267.16,"4,303,544,259,843"
Uruguay,URY,2001,8.0,127,168,87,South America,236.12,"20,898,788,417"
Jamaica,JAM,2001,7.5,175,217,130,North America,2.8,"9,178,016,493"
Bahamas,BHS,2001,10.9,204,257,152,North America,2.68,"8,317,830,000"
Australia,AUS,2001,11.9,74,93,53,Oceania,158.79,"378,215,090,694"
Iceland,ISL,2001,9.6,73,90,56,Europe,163.06,"8,136,345,144"
Estonia,EST,2001,11.8,224,325,121,Europe,371.68,"6,245,069,734"
South Africa,ZAF,2001,7.5,387,436,340,Africa,12.43,"121,600,818,310"
Hungary,HUN,2001,10.3,185,260,111,Europe,408.98,"53,821,315,066"
Guyana,GUY,2001,7.8,273,315,229,South America,380.76,"696,281,472"
Fiji,FJI,2001,9.5,221,265,174,Oceania,54.95,"1,660,102,346"
Spain,ESP,2001,8.5,83,117,48,Europe,112.4,"625,975,838,926"
Guatemala,GTM,2001,3.8,214,283,149,North America,30.59,"18,702,802,395"
Finland,FIN,2001,9.4,99,137,59,Europe,267.19,"129,250,111,857"
Greece,GRC,2001,8.8,81,114,47,Europe,38.81,"136,191,353,468"
Austria,AUT,2001,9.2,90,119,59,Europe,261.91,"197,337,879,195"
Sri Lanka,LKA,2001,10.2,158,222,93,Asia,358.06,"15,749,753,805"
France,FRA,2001,10.0,99,136,61,Europe,239.94,"1,376,465,324,385"
Germany,DEU,2001,11.7,92,120,62,Europe,185.78,"1,950,648,769,575"
Albania,ALB,2001,8.7,100,125,73,Europe,50.620000000000005,"4,060,758,804"
Uzbekistan,UZB,2001,9.2,177,223,130,Asia,115.92,"11,401,351,420"
Ireland,IRL,2001,11.0,88,110,64,Europe,148.97,"109,133,512,304"
